name,cluster,label
Sequence-90840,C2951,0
Sequence-87860,C1734,0
Sequence-15742,C4944,0
Sequence-65723,C2133,0
Sequence-34840,C6303,0
Sequence-64487,C2851,0
Sequence-41727,C2949,0
Sequence-97987,C1957,0
Sequence-109067,C2951,0
Sequence-138529,C785,0
Sequence-25519,C1592,0
Sequence-2080,C707,0
Sequence-37656,C175,0
Sequence-130931,C2697,0
Sequence-89641,C35,0
Sequence-45466,C3828,0
Sequence-5255,C235,0
Sequence-57532,C53,0
Sequence-88958,C3262,0
Sequence-81380,C229,0
Sequence-20598,C1518,0
Sequence-123038,C5109,0
Sequence-24563,C7,0
Sequence-69386,C5997,0
Sequence-103213,C7376,0
Sequence-109341,C1403,0
Sequence-96177,C1373,0
Sequence-122621,C648,0
Sequence-127323,C4540,0
Sequence-6623,C1816,0
Sequence-101579,C7761,0
Sequence-46364,C5218,0
Sequence-64813,C2873,0
Sequence-73988,C1801,0
Sequence-112802,C4129,0
Sequence-65257,C6321,0
Sequence-65470,C4740,0
Sequence-102801,C5183,0
Sequence-120609,C1872,0
Sequence-7749,C23,0
Sequence-116743,C3469,0
Sequence-30616,C969,0
Sequence-36630,C153,0
Sequence-89390,C1602,0
Sequence-24890,C1231,0
Sequence-56814,C1528,0
Sequence-46083,C6494,0
Sequence-96739,C644,0
Sequence-36141,C5,0
Sequence-379,C4125,0
Sequence-111388,C6453,0
Sequence-70158,C7090,0
Sequence-8406,C6478,0
Sequence-123531,C2773,0
Sequence-58401,C1349,0
Sequence-93405,C870,0
Sequence-15145,C2692,0
Sequence-53570,C564,0
Sequence-85720,C3655,0
Sequence-13747,C981,0
Sequence-55787,C2993,0
Sequence-139989,C518,0
Sequence-140161,C7138,0
Sequence-87661,C5271,0
Sequence-12335,C1799,0
Sequence-109617,C5055,0
Sequence-19899,C588,0
Sequence-64563,C4418,0
Sequence-66713,C2725,0
Sequence-11263,C6903,0
Sequence-41487,C3561,0
Sequence-109018,C7630,0
Sequence-48389,C2852,0
Sequence-63589,C5210,0
Sequence-101553,C7295,0
Sequence-6824,C66,0
Sequence-22740,C1288,0
Sequence-55044,C1434,0
Sequence-59115,C1027,0
Sequence-16667,C1699,0
Sequence-3302,C1060,0
Sequence-21275,C1573,0
Sequence-4269,C3066,0
Sequence-46975,C5562,0
Sequence-13692,C3788,0
Sequence-85055,C3843,0
Sequence-94170,C5752,0
Sequence-47222,C2163,0
Sequence-134380,C297,0
Sequence-67955,C5544,0
Sequence-112465,C2420,0
Sequence-89062,C1110,0
Sequence-39289,C4031,0
Sequence-3840,C56,0
Sequence-9976,C2761,0
Sequence-32421,C307,0
Sequence-28779,C3026,0
Sequence-17801,C6586,1
Sequence-108027,C4729,0
Sequence-117873,C3518,0
Sequence-66738,C3913,0
Sequence-31624,C1166,0
Sequence-16588,C6610,0
Sequence-44726,C2041,0
Sequence-37122,C3436,0
Sequence-110190,C579,0
Sequence-114736,C2728,0
Sequence-120208,C4100,0
Sequence-121187,C2463,0
Sequence-116421,C991,0
Sequence-5785,C3182,0
Sequence-43896,C1235,0
Sequence-15185,C1863,0
Sequence-26065,C144,0
Sequence-35374,C3034,0
Sequence-85524,C1723,0
Sequence-62953,C220,0
Sequence-62638,C2385,0
Sequence-73313,C5041,0
Sequence-21636,C1730,0
Sequence-102895,C2469,0
Sequence-22401,C6682,0
Sequence-57182,C4022,0
Sequence-132794,C2907,0
Sequence-38535,C339,1
Sequence-44413,C1103,0
Sequence-51935,C6758,0
Sequence-108714,C3339,0
Sequence-110478,C6551,0
Sequence-54573,C3789,0
Sequence-134253,C5134,0
Sequence-29463,C4386,0
Sequence-88597,C2103,0
Sequence-47797,C1886,0
Sequence-38525,C160,0
Sequence-105745,C6121,0
Sequence-123732,C4173,0
Sequence-71024,C4275,0
Sequence-111899,C6916,0
Sequence-20372,C2420,0
Sequence-64998,C5029,0
Sequence-70642,C2078,0
Sequence-18493,C2365,0
Sequence-49400,C5136,0
Sequence-28618,C2583,0
Sequence-36096,C898,0
Sequence-63237,C4083,0
Sequence-51052,C4032,0
Sequence-13651,C1024,0
Sequence-24469,C2145,0
Sequence-25323,C1168,0
Sequence-66796,C3285,0
Sequence-3431,C4877,0
Sequence-107732,C2869,0
Sequence-78861,C951,0
Sequence-98049,C5049,0
Sequence-104061,C6990,0
Sequence-58119,C6287,0
Sequence-80150,C2121,0
Sequence-75454,C1698,0
Sequence-36883,C2212,0
Sequence-74567,C1986,0
Sequence-82552,C1128,0
Sequence-54934,C4421,0
Sequence-103,C460,0
Sequence-51134,C3452,0
Sequence-82804,C17,0
Sequence-59469,C266,0
Sequence-11201,C767,0
Sequence-12083,C485,0
Sequence-131137,C392,0
Sequence-91999,C6539,0
Sequence-127049,C1487,0
Sequence-23501,C1764,0
Sequence-21362,C1910,0
Sequence-46650,C3819,0
Sequence-26152,C53,0
Sequence-88885,C2674,0
Sequence-24667,C1681,0
Sequence-3624,C3426,0
Sequence-96760,C3865,0
Sequence-40329,C4625,0
Sequence-11714,C3109,0
Sequence-34890,C2572,0
Sequence-88159,C1088,0
Sequence-44467,C138,0
Sequence-23674,C5446,0
Sequence-89773,C2722,0
Sequence-1423,C3789,0
Sequence-27039,C5440,0
Sequence-74443,C2822,0
Sequence-136846,C224,0
Sequence-92382,C2344,0
Sequence-8711,C3776,0
