round,id,cluster,label
-1,Sequence-90840,C2951,0
-1,Sequence-87860,C1734,0
-1,Sequence-15742,C4944,0
-1,Sequence-65723,C2133,0
-1,Sequence-34840,C6303,0
-1,Sequence-64487,C2851,0
-1,Sequence-41727,C2949,0
-1,Sequence-97987,C1957,0
-1,Sequence-109067,C2951,0
-1,Sequence-138529,C785,0
-1,Sequence-25519,C1592,0
-1,Sequence-2080,C707,0
-1,Sequence-37656,C175,0
-1,Sequence-130931,C2697,0
-1,Sequence-89641,C35,0
-1,Sequence-45466,C3828,0
-1,Sequence-5255,C235,0
-1,Sequence-57532,C53,0
-1,Sequence-88958,C3262,0
-1,Sequence-81380,C229,0
-1,Sequence-20598,C1518,0
-1,Sequence-123038,C5109,0
-1,Sequence-24563,C7,0
-1,Sequence-69386,C5997,0
-1,Sequence-103213,C7376,0
-1,Sequence-109341,C1403,0
-1,Sequence-96177,C1373,0
-1,Sequence-122621,C648,0
-1,Sequence-127323,C4540,0
-1,Sequence-6623,C1816,0
-1,Sequence-101579,C7761,0
-1,Sequence-46364,C5218,0
-1,Sequence-64813,C2873,0
-1,Sequence-73988,C1801,0
-1,Sequence-112802,C4129,0
-1,Sequence-65257,C6321,0
-1,Sequence-65470,C4740,0
-1,Sequence-102801,C5183,0
-1,Sequence-120609,C1872,0
-1,Sequence-7749,C23,0
-1,Sequence-116743,C3469,0
-1,Sequence-30616,C969,0
-1,Sequence-36630,C153,0
-1,Sequence-89390,C1602,0
-1,Sequence-24890,C1231,0
-1,Sequence-56814,C1528,0
-1,Sequence-46083,C6494,0
-1,Sequence-96739,C644,0
-1,Sequence-36141,C5,0
-1,Sequence-379,C4125,0
-1,Sequence-111388,C6453,0
-1,Sequence-70158,C7090,0
-1,Sequence-8406,C6478,0
-1,Sequence-123531,C2773,0
-1,Sequence-58401,C1349,0
-1,Sequence-93405,C870,0
-1,Sequence-15145,C2692,0
-1,Sequence-53570,C564,0
-1,Sequence-85720,C3655,0
-1,Sequence-13747,C981,0
-1,Sequence-55787,C2993,0
-1,Sequence-139989,C518,0
-1,Sequence-140161,C7138,0
-1,Sequence-87661,C5271,0
-1,Sequence-12335,C1799,0
-1,Sequence-109617,C5055,0
-1,Sequence-19899,C588,0
-1,Sequence-64563,C4418,0
-1,Sequence-66713,C2725,0
-1,Sequence-11263,C6903,0
-1,Sequence-41487,C3561,0
-1,Sequence-109018,C7630,0
-1,Sequence-48389,C2852,0
-1,Sequence-63589,C5210,0
-1,Sequence-101553,C7295,0
-1,Sequence-6824,C66,0
-1,Sequence-22740,C1288,0
-1,Sequence-55044,C1434,0
-1,Sequence-59115,C1027,0
-1,Sequence-16667,C1699,0
-1,Sequence-3302,C1060,0
-1,Sequence-21275,C1573,0
-1,Sequence-4269,C3066,0
-1,Sequence-46975,C5562,0
-1,Sequence-13692,C3788,0
-1,Sequence-85055,C3843,0
-1,Sequence-94170,C5752,0
-1,Sequence-47222,C2163,0
-1,Sequence-134380,C297,0
-1,Sequence-67955,C5544,0
-1,Sequence-112465,C2420,0
-1,Sequence-89062,C1110,0
-1,Sequence-39289,C4031,0
-1,Sequence-3840,C56,0
-1,Sequence-9976,C2761,0
-1,Sequence-32421,C307,0
-1,Sequence-28779,C3026,0
-1,Sequence-17801,C6586,1
-1,Sequence-108027,C4729,0
-1,Sequence-117873,C3518,0
-1,Sequence-66738,C3913,0
-1,Sequence-31624,C1166,0
-1,Sequence-16588,C6610,0
-1,Sequence-44726,C2041,0
-1,Sequence-37122,C3436,0
-1,Sequence-110190,C579,0
-1,Sequence-114736,C2728,0
-1,Sequence-120208,C4100,0
-1,Sequence-121187,C2463,0
-1,Sequence-116421,C991,0
-1,Sequence-5785,C3182,0
-1,Sequence-43896,C1235,0
-1,Sequence-15185,C1863,0
-1,Sequence-26065,C144,0
-1,Sequence-35374,C3034,0
-1,Sequence-85524,C1723,0
-1,Sequence-62953,C220,0
-1,Sequence-62638,C2385,0
-1,Sequence-73313,C5041,0
-1,Sequence-21636,C1730,0
-1,Sequence-102895,C2469,0
-1,Sequence-22401,C6682,0
-1,Sequence-57182,C4022,0
-1,Sequence-132794,C2907,0
-1,Sequence-38535,C339,1
-1,Sequence-44413,C1103,0
-1,Sequence-51935,C6758,0
-1,Sequence-108714,C3339,0
-1,Sequence-110478,C6551,0
-1,Sequence-54573,C3789,0
-1,Sequence-134253,C5134,0
-1,Sequence-29463,C4386,0
-1,Sequence-88597,C2103,0
-1,Sequence-47797,C1886,0
-1,Sequence-38525,C160,0
-1,Sequence-105745,C6121,0
-1,Sequence-123732,C4173,0
-1,Sequence-71024,C4275,0
-1,Sequence-111899,C6916,0
-1,Sequence-20372,C2420,0
-1,Sequence-64998,C5029,0
-1,Sequence-70642,C2078,0
-1,Sequence-18493,C2365,0
-1,Sequence-49400,C5136,0
-1,Sequence-28618,C2583,0
-1,Sequence-36096,C898,0
-1,Sequence-63237,C4083,0
-1,Sequence-51052,C4032,0
-1,Sequence-13651,C1024,0
-1,Sequence-24469,C2145,0
-1,Sequence-25323,C1168,0
-1,Sequence-66796,C3285,0
-1,Sequence-3431,C4877,0
-1,Sequence-107732,C2869,0
-1,Sequence-78861,C951,0
-1,Sequence-98049,C5049,0
-1,Sequence-104061,C6990,0
-1,Sequence-58119,C6287,0
-1,Sequence-80150,C2121,0
-1,Sequence-75454,C1698,0
-1,Sequence-36883,C2212,0
-1,Sequence-74567,C1986,0
-1,Sequence-82552,C1128,0
-1,Sequence-54934,C4421,0
-1,Sequence-103,C460,0
-1,Sequence-51134,C3452,0
-1,Sequence-82804,C17,0
-1,Sequence-59469,C266,0
-1,Sequence-11201,C767,0
-1,Sequence-12083,C485,0
-1,Sequence-131137,C392,0
-1,Sequence-91999,C6539,0
-1,Sequence-127049,C1487,0
-1,Sequence-23501,C1764,0
-1,Sequence-21362,C1910,0
-1,Sequence-46650,C3819,0
-1,Sequence-26152,C53,0
-1,Sequence-88885,C2674,0
-1,Sequence-24667,C1681,0
-1,Sequence-3624,C3426,0
-1,Sequence-96760,C3865,0
-1,Sequence-40329,C4625,0
-1,Sequence-11714,C3109,0
-1,Sequence-34890,C2572,0
-1,Sequence-88159,C1088,0
-1,Sequence-44467,C138,0
-1,Sequence-23674,C5446,0
-1,Sequence-89773,C2722,0
-1,Sequence-1423,C3789,0
-1,Sequence-27039,C5440,0
-1,Sequence-74443,C2822,0
-1,Sequence-136846,C224,0
-1,Sequence-92382,C2344,0
-1,Sequence-8711,C3776,0
-1,Sequence-83681,C6189,0
-1,Sequence-33330,C1347,0
-1,Sequence-25806,C5741,0
-1,Sequence-35299,C4359,0
-1,Sequence-98644,C4561,0
-1,Sequence-68628,C4717,0
-1,Sequence-24230,C7201,0
-1,Sequence-97246,C3344,0
-1,Sequence-129354,C64,0
-1,Sequence-26271,C29,0
-1,Sequence-81382,C3748,0
-1,Sequence-109566,C3154,0
-1,Sequence-130003,C2820,0
-1,Sequence-27855,C1715,0
-1,Sequence-72774,C1838,0
-1,Sequence-40979,C2773,0
-1,Sequence-15062,C97,0
-1,Sequence-124552,C786,0
-1,Sequence-4792,C377,0
-1,Sequence-42021,C6958,0
-1,Sequence-94931,C1396,0
-1,Sequence-106283,C1566,0
-1,Sequence-52510,C3061,0
-1,Sequence-55798,C68,0
-1,Sequence-51511,C1554,1
-1,Sequence-35469,C387,0
-1,Sequence-125159,C2452,0
-1,Sequence-39045,C1319,0
-1,Sequence-125511,C2989,0
-1,Sequence-106175,C3641,0
-1,Sequence-133307,C6762,0
-1,Sequence-21655,C1853,0
-1,Sequence-6038,C6446,0
-1,Sequence-19098,C4694,0
-1,Sequence-59842,C3179,0
-1,Sequence-83073,C6088,0
-1,Sequence-109727,C2585,0
-1,Sequence-72830,C4952,0
-1,Sequence-761,C5527,0
-1,Sequence-24555,C3374,0
-1,Sequence-110725,C467,0
-1,Sequence-140137,C4410,0
-1,Sequence-116509,C7296,0
-1,Sequence-104247,C2675,0
-1,Sequence-80161,C6605,0
-1,Sequence-46703,C10,0
-1,Sequence-123706,C1438,0
-1,Sequence-75239,C6098,0
-1,Sequence-2253,C4845,0
-1,Sequence-125033,C1111,0
-1,Sequence-101887,C7134,0
-1,Sequence-40971,C5746,0
-1,Sequence-72345,C3519,0
-1,Sequence-36394,C128,0
-1,Sequence-114222,C7270,0
-1,Sequence-110297,C2526,0
-1,Sequence-124270,C4905,0
-1,Sequence-105221,C4417,0
-1,Sequence-125878,C3284,0
-1,Sequence-105281,C1717,0
-1,Sequence-49324,C7502,0
-1,Sequence-79813,C3214,0
-1,Sequence-30470,C1346,0
-1,Sequence-46795,C4677,0
-1,Sequence-124437,C4276,0
-1,Sequence-32592,C384,0
-1,Sequence-106791,C1717,0
-1,Sequence-93365,C6635,0
-1,Sequence-5239,C6183,0
-1,Sequence-50756,C5434,0
-1,Sequence-31943,C347,0
-1,Sequence-87813,C3941,0
-1,Sequence-26131,C2521,0
-1,Sequence-83904,C2541,0
-1,Sequence-87805,C2869,0
-1,Sequence-98561,C2182,0
-1,Sequence-75892,C805,0
-1,Sequence-78825,C2063,0
-1,Sequence-16377,C905,0
-1,Sequence-90146,C4688,0
-1,Sequence-101988,C3915,0
-1,Sequence-107235,C98,0
-1,Sequence-8275,C4237,0
-1,Sequence-39926,C2564,0
-1,Sequence-41228,C4842,0
-1,Sequence-25148,C3092,0
-1,Sequence-114711,C768,0
-1,Sequence-94094,C4271,0
-1,Sequence-105449,C890,0
-1,Sequence-117305,C1734,0
-1,Sequence-86943,C6144,0
-1,Sequence-124026,C3613,0
-1,Sequence-10931,C5010,0
-1,Sequence-94041,C911,0
-1,Sequence-16848,C2447,0
-1,Sequence-115607,C2659,0
-1,Sequence-110247,C106,0
-1,Sequence-120728,C5954,0
-1,Sequence-46173,C4108,0
-1,Sequence-126848,C5685,0
-1,Sequence-105632,C3551,0
-1,Sequence-92312,C5642,0
-1,Sequence-57175,C1311,0
-1,Sequence-130490,C587,0
-1,Sequence-131288,C125,0
-1,Sequence-115042,C718,0
-1,Sequence-3834,C567,0
-1,Sequence-6951,C5940,0
-1,Sequence-66132,C821,0
-1,Sequence-22990,C94,0
-1,Sequence-142042,C924,0
-1,Sequence-28473,C421,0
-1,Sequence-129378,C742,0
-1,Sequence-6294,C1979,0
-1,Sequence-14044,C72,0
-1,Sequence-117726,C3508,0
-1,Sequence-69181,C5029,0
-1,Sequence-63231,C1946,0
-1,Sequence-75739,C541,0
-1,Sequence-26637,C6509,0
-1,Sequence-121608,C7532,0
-1,Sequence-86685,C6270,0
-1,Sequence-12890,C4145,0
-1,Sequence-116760,C7675,0
-1,Sequence-4402,C3041,0
-1,Sequence-17991,C2733,0
-1,Sequence-21917,C1800,0
-1,Sequence-10919,C4325,0
-1,Sequence-23321,C6257,0
-1,Sequence-47383,C4368,0
-1,Sequence-13667,C12,0
-1,Sequence-41333,C2088,0
-1,Sequence-206,C491,0
-1,Sequence-120060,C1987,0
-1,Sequence-67831,C2868,0
-1,Sequence-23632,C5434,0
-1,Sequence-85236,C1780,0
-1,Sequence-60876,C1176,0
-1,Sequence-117997,C189,0
-1,Sequence-87180,C3740,0
-1,Sequence-64663,C5284,0
-1,Sequence-78090,C342,0
-1,Sequence-10873,C340,0
-1,Sequence-22971,C4410,0
-1,Sequence-37358,C2408,0
-1,Sequence-102705,C5187,0
-1,Sequence-18879,C1771,0
-1,Sequence-74218,C2114,0
-1,Sequence-73276,C6822,0
-1,Sequence-123031,C395,0
-1,Sequence-53021,C3,0
-1,Sequence-118026,C3591,0
-1,Sequence-94435,C7570,0
-1,Sequence-34151,C1758,0
-1,Sequence-58705,C1822,0
-1,Sequence-135368,C3625,0
-1,Sequence-124502,C2079,0
-1,Sequence-115472,C3459,0
-1,Sequence-63973,C1853,0
-1,Sequence-80456,C1650,0
-1,Sequence-116153,C4758,0
-1,Sequence-123838,C7982,0
-1,Sequence-9821,C237,0
-1,Sequence-122051,C2453,0
-1,Sequence-44868,C2616,0
-1,Sequence-60163,C1204,0
-1,Sequence-15842,C3321,0
-1,Sequence-108827,C4916,0
-1,Sequence-126297,C2839,0
-1,Sequence-87039,C4671,0
-1,Sequence-63308,C879,0
-1,Sequence-62976,C2854,0
-1,Sequence-10195,C1860,0
-1,Sequence-44815,C404,0
-1,Sequence-46258,C2517,0
-1,Sequence-47721,C2179,0
-1,Sequence-78278,C3004,0
-1,Sequence-82124,C6460,0
-1,Sequence-77494,C5068,0
-1,Sequence-113696,C1082,0
-1,Sequence-34604,C1508,0
-1,Sequence-129486,C6526,0
-1,Sequence-103491,C3477,0
-1,Sequence-95340,C344,0
-1,Sequence-86284,C3336,0
-1,Sequence-87885,C393,0
-1,Sequence-117995,C5226,1
-1,Sequence-67551,C2634,0
-1,Sequence-126164,C6954,0
-1,Sequence-44810,C42,0
-1,Sequence-5169,C4492,0
-1,Sequence-1403,C4132,0
-1,Sequence-76448,C3571,0
-1,Sequence-53972,C3689,0
-1,Sequence-126395,C3430,0
-1,Sequence-39074,C30,1
-1,Sequence-79087,C5007,0
-1,Sequence-24454,C2591,1
-1,Sequence-43031,C2406,0
-1,Sequence-740,C480,0
-1,Sequence-102951,C136,0
-1,Sequence-141673,C11,0
-1,Sequence-20047,C5191,0
-1,Sequence-73288,C145,0
-1,Sequence-64088,C3116,0
-1,Sequence-58573,C1223,0
-1,Sequence-141970,C2036,0
-1,Sequence-31331,C3489,0
-1,Sequence-17384,C1456,0
-1,Sequence-26010,C4188,0
-1,Sequence-107029,C3680,0
-1,Sequence-111610,C3816,0
-1,Sequence-85855,C7306,0
-1,Sequence-16774,C6930,0
-1,Sequence-110292,C74,0
-1,Sequence-75939,C5613,0
-1,Sequence-46234,C5688,0
-1,Sequence-51441,C6084,0
-1,Sequence-107129,C675,0
-1,Sequence-122926,C3264,0
-1,Sequence-120789,C969,0
-1,Sequence-32711,C4983,0
-1,Sequence-139554,C4597,0
-1,Sequence-18362,C768,0
-1,Sequence-118943,C6142,0
-1,Sequence-124678,C1701,0
-1,Sequence-86689,C4397,0
-1,Sequence-96681,C2924,0
-1,Sequence-46790,C420,0
-1,Sequence-89132,C4715,0
-1,Sequence-33448,C2360,0
-1,Sequence-40944,C2350,0
-1,Sequence-58261,C7177,0
-1,Sequence-77076,C2092,0
-1,Sequence-71526,C6760,0
-1,Sequence-37543,C2408,0
-1,Sequence-35753,C876,1
-1,Sequence-124404,C179,0
-1,Sequence-61890,C113,0
-1,Sequence-64536,C3617,1
-1,Sequence-19617,C287,1
-1,Sequence-94020,C1815,0
-1,Sequence-84205,C784,0
-1,Sequence-4187,C5581,0
-1,Sequence-15711,C18,0
-1,Sequence-125936,C2194,0
-1,Sequence-70522,C25,0
-1,Sequence-108434,C895,0
-1,Sequence-38482,C4858,0
-1,Sequence-91493,C1155,0
-1,Sequence-105155,C2346,0
-1,Sequence-102529,C5454,0
-1,Sequence-113838,C4962,0
-1,Sequence-90517,C1963,0
-1,Sequence-47857,C1949,0
-1,Sequence-70098,C1340,0
-1,Sequence-50972,C658,0
-1,Sequence-68242,C2558,0
-1,Sequence-71931,C9,1
-1,Sequence-51850,C3581,0
-1,Sequence-33167,C1155,0
-1,Sequence-98101,C6341,0
-1,Sequence-89483,C1938,0
-1,Sequence-89354,C4761,0
-1,Sequence-2294,C3029,0
-1,Sequence-132088,C3741,0
-1,Sequence-58720,C1595,1
-1,Sequence-52584,C2661,0
-1,Sequence-89272,C7642,0
-1,Sequence-140175,C3799,0
-1,Sequence-76141,C3920,0
-1,Sequence-133912,C478,0
-1,Sequence-138087,C44,0
-1,Sequence-55164,C3719,0
-1,Sequence-127779,C6675,0
-1,Sequence-27151,C2312,0
-1,Sequence-39623,C2143,1
-1,Sequence-132323,C4712,0
-1,Sequence-36704,C4770,0
-1,Sequence-24887,C2521,0
-1,Sequence-20580,C3845,0
-1,Sequence-97292,C1280,0
-1,Sequence-100818,C2056,0
-1,Sequence-66486,C2160,0
-1,Sequence-90635,C5350,0
-1,Sequence-132740,C7554,0
-1,Sequence-6994,C5279,0
-1,Sequence-104000,C6715,0
-1,Sequence-77430,C3224,0
-1,Sequence-130771,C6624,0
-1,Sequence-126446,C3000,0
-1,Sequence-91885,C7546,0
-1,Sequence-138268,C5880,0
-1,Sequence-29201,C4267,0
-1,Sequence-6117,C23,0
-1,Sequence-75553,C4616,0
-1,Sequence-125147,C6656,0
-1,Sequence-20102,C3832,0
-1,Sequence-60844,C2372,0
-1,Sequence-36134,C6396,0
-1,Sequence-98403,C1356,0
-1,Sequence-35267,C6167,0
-1,Sequence-59375,C7379,0
-1,Sequence-49365,C3771,0
-1,Sequence-60217,C2838,0
-1,Sequence-141415,C1305,0
-1,Sequence-92102,C48,0
-1,Sequence-41147,C884,0
-1,Sequence-57251,C6339,0
-1,Sequence-38361,C874,0
-1,Sequence-127246,C3301,0
-1,Sequence-110321,C5695,0
-1,Sequence-33694,C6434,0
-1,Sequence-6508,C1607,0
-1,Sequence-53729,C3865,0
-1,Sequence-130469,C1796,1
-1,Sequence-124099,C6814,0
-1,Sequence-75402,C4181,0
-1,Sequence-97056,C2507,0
-1,Sequence-3517,C4862,0
-1,Sequence-69931,C6765,0
-1,Sequence-88101,C1015,0
-1,Sequence-123995,C7161,0
-1,Sequence-76121,C2166,0
-1,Sequence-117877,C7729,0
-1,Sequence-54038,C3233,0
-1,Sequence-60910,C4852,0
-1,Sequence-39419,C1715,0
-1,Sequence-2284,C5525,0
-1,Sequence-16487,C6622,0
-1,Sequence-80636,C1818,0
-1,Sequence-97274,C2046,0
-1,Sequence-120277,C3924,0
-1,Sequence-37974,C4600,0
-1,Sequence-89228,C4836,0
-1,Sequence-30427,C7359,0
-1,Sequence-87044,C343,0
-1,Sequence-16570,C2163,0
-1,Sequence-30440,C1567,0
-1,Sequence-55995,C4150,0
-1,Sequence-28574,C2547,0
-1,Sequence-137708,C2282,0
-1,Sequence-11891,C736,0
-1,Sequence-88107,C6699,0
-1,Sequence-73075,C862,0
-1,Sequence-59766,C5229,1
-1,Sequence-24877,C6602,0
-1,Sequence-1887,C5541,0
-1,Sequence-128970,C88,0
-1,Sequence-98388,C6301,0
-1,Sequence-13537,C3294,0
-1,Sequence-19663,C4349,1
-1,Sequence-4774,C1287,0
-1,Sequence-100033,C808,0
-1,Sequence-84948,C4774,0
-1,Sequence-74012,C3230,0
-1,Sequence-97440,C7347,0
-1,Sequence-33778,C7027,0
-1,Sequence-102369,C588,0
-1,Sequence-112459,C2585,0
